step,sequence_id,pos_in_seq,input_id,seen_in_run,seen_global,active_cells,predicted_cells,tp,fp,fn,precision,recall,f1,active_columns,bursting_columns,sparsity_cells,sparsity_columns,stability_overlap_last,stability_jaccard_last,stability_jaccard_ema,stability_best_window,stability_worst_window,converged,unique_active_cells_ever,unique_active_columns_ever
0,seq0,0,A,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,400,40
1,seq0,1,B,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,790,79
2,seq0,2,C,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,1190,119
3,seq0,3,D,1,1,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,0,0.0,0.0,0.0,0.0,0,1590,159
4,seq0,0,A,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.5094339622641509,0,1720,172
5,seq0,1,B,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,240,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,1880,188
6,seq0,2,C,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,240,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,2020,202
7,seq0,3,D,2,2,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,240,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,2160,216
8,seq0,0,A,3,3,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,310,0.6326530612244898,0.55,0.6326530612244898,0.5686274509803921,0,2230,223
9,seq0,1,B,3,3,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,260,0.48148148148148145,0.391304347826087,0.48148148148148145,0.40350877192982454,0,2360,236
